Feature	rank_it_0	rank_it_1	rank_it_2	rank_it_3	rank_it_4	rank_it_5	rank_it_6	rank_it_7	rank_it_8	rank_it_9
ENSG00000073803|MAP3K13|protein_coding	434	444	659	455	447	638	597	616	669	514
ENSG00000076554|TPD52|protein_coding	328	551	485	175	235	290	236	219	429	310
ENSG00000076826|CAMSAP3|protein_coding	133	134	106	108	120	137	249	145	117	481
ENSG00000077684|JADE1|protein_coding	214	238	429	240	287	340	222	214	328	301
ENSG00000078070|MCCC1|protein_coding	420	361	659	271	474	179	328	296	345	291
ENSG00000078081|LAMP3|protein_coding	245	185	329	274	283	384	208	189	311	366
ENSG00000079150|FKBP7|protein_coding	11	20	9	6	11	25	13	17	1	7
ENSG00000081087|OSTM1|protein_coding	454	263	624	339	589	288	470	246	300	462
ENSG00000081791|KIAA0141|protein_coding	1	1	1	1	1	1	1	1	1	1
ENSG00000082126|MPP4|protein_coding	56	52	68	56	68	42	70	38	84	50
ENSG00000082146|STRADB|protein_coding	189	198	171	217	137	132	230	187	162	169
ENSG00000082458|DLG3|protein_coding	482	450	554	518	351	240	234	317	415	514
ENSG00000083307|GRHL2|protein_coding	29	62	84	98	67	58	37	36	48	41
ENSG00000083312|TNPO1|protein_coding	374	520	312	363	715	536	481	475	156	189
ENSG00000085433|WDR47|protein_coding	365	520	588	355	589	599	483	186	433	217
ENSG00000085449|WDFY1|protein_coding	24	40	35	24	38	38	59	27	26	29
ENSG00000085552|IGSF9|protein_coding	1	1	1	1	1	1	1	1	1	1
ENSG00000088002|SULT2B1|protein_coding	394	688	588	234	589	729	702	415	259	604
ENSG00000089356|FXYD3|protein_coding	107	205	97	93	110	73	83	96	62	46
ENSG00000091039|OSBPL8|protein_coding	576	520	140	602	431	536	702	509	468	514
ENSG00000091640|SPAG7|protein_coding	380	165	215	440	248	283	519	420	231	224
ENSG00000091831|ESR1|protein_coding	371	292	441	575	373	441	560	371	524	336
ENSG00000091879|ANGPT2|protein_coding	660	615	554	647	621	536	473	351	605	493
ENSG00000092295|TGM1|protein_coding	281	351	389	647	589	352	462	570	715	485
ENSG00000094755|GABRP|protein_coding	1	1	1	1	1	1	1	1	1	1
ENSG00000095066|HOOK2|protein_coding	315	520	717	602	454	462	431	658	605	637
ENSG00000095585|BLNK|protein_coding	306	405	323	488	359	423	226	349	524	540
ENSG00000099337|KCNK6|protein_coding	351	393	299	239	179	292	130	282	214	284
ENSG00000100095|SEZ6L|protein_coding	215	208	474	366	518	362	333	717	162	336
ENSG00000100100|PIK3IP1|protein_coding	1	1	1	1	1	1	1	1	1	1
ENSG00000100379|KCTD17|protein_coding	660	585	219	443	354	298	702	232	246	514
ENSG00000100842|EFS|protein_coding	1	1	1	1	1	1	1	1	1	1
ENSG00000100934|SEC23A|protein_coding	56	71	87	60	65	107	35	60	50	63
ENSG00000102038|SMARCA1|protein_coding	1	1	1	1	1	1	1	1	1	1
ENSG00000102181|CD99L2|protein_coding	80	176	106	189	121	118	82	131	176	126
ENSG00000102243|VGLL1|protein_coding	229	277	242	383	379	392	286	658	605	376
ENSG00000102271|KLHL4|protein_coding	50	55	51	126	103	83	119	41	62	132
ENSG00000102317|RBM3|protein_coding	445	585	717	353	456	281	423	616	476	637
ENSG00000102781|KATNAL1|protein_coding	2	1	1	2	1	8	2	2	1	1
ENSG00000102886|GDPD3|protein_coding	252	417	483	311	360	250	339	273	605	384
ENSG00000102890|ELMO3|protein_coding	1	1	1	1	1	1	1	1	1	1
ENSG00000102962|CCL22|protein_coding	333	238	624	518	397	286	200	195	605	229
ENSG00000102996|MMP15|protein_coding	89	120	112	87	93	71	108	125	101	93
ENSG00000103037|SETD6|protein_coding	660	551	588	647	686	638	702	717	669	569
ENSG00000103047|TANGO6|protein_coding	313	166	172	123	105	272	461	240	226	147
ENSG00000103067|ESRP2|protein_coding	433	428	659	497	208	374	270	367	305	322
ENSG00000103546|SLC6A2|protein_coding	202	145	144	264	140	88	184	221	108	163
ENSG00000104140|RHOV|protein_coding	502	585	588	575	369	364	702	570	442	569
ENSG00000104219|ZDHHC2|protein_coding	1	1	1	1	2	1	1	1	1	1
ENSG00000104375|STK3|protein_coding	11	7	9	2	11	8	3	2	6	2
ENSG00000104413|ESRP1|protein_coding	131	209	235	347	201	227	161	426	290	176
ENSG00000104643|MTMR9|protein_coding	576	450	659	474	548	536	342	690	605	569
ENSG00000104660|LEPROTL1|protein_coding	1	1	2	1	1	1	1	1	1	1
ENSG00000104691|UBXN8|protein_coding	717	376	588	647	655	217	418	362	669	709
ENSG00000104728|ARHGEF10|protein_coding	138	194	253	376	462	254	203	658	560	246
ENSG00000104808|DHDH|protein_coding	159	111	95	131	81	141	89	111	107	95
ENSG00000105141|CASP14|protein_coding	410	626	522	544	621	671	702	509	669	514
ENSG00000105289|TJP3|protein_coding	621	585	717	715	485	475	702	454	461	676
ENSG00000105329|TGFB1|protein_coding	576	315	522	249	469	435	272	570	560	637
ENSG00000105357|MYH14|protein_coding	135	585	170	278	265	171	197	454	159	235
ENSG00000105519|CAPS|protein_coding	140	131	242	192	316	203	185	104	108	107
ENSG00000105523|FAM83E|protein_coding	412	181	472	336	216	200	279	509	289	477
ENSG00000105605|CACNG7|protein_coding	660	422	588	499	485	536	546	658	605	569
ENSG00000105699|LSR|protein_coding	717	716	659	485	395	599	495	509	500	381
ENSG00000105854|PON2|protein_coding	1	1	1	1	1	1	1	1	1	1
ENSG00000107625|DDX50|protein_coding	524	252	487	477	483	599	242	457	455	365
ENSG00000107874|CUEDC2|protein_coding	222	163	659	452	274	198	253	214	351	218
ENSG00000108244|KRT23|protein_coding	621	659	624	465	472	310	519	360	358	457
ENSG00000108797|CNTNAP1|protein_coding	2	1	2	2	1	1	1	2	1	1
ENSG00000108961|RANGRF|protein_coding	144	139	404	154	129	158	101	145	172	133
ENSG00000109062|SLC9A3R1|protein_coding	250	168	522	358	167	249	230	152	222	234
ENSG00000109680|TBC1D19|protein_coding	156	118	160	256	146	174	144	162	184	126
ENSG00000109814|UGDH|protein_coding	576	716	588	575	468	599	352	439	327	326
ENSG00000110042|DTX4|protein_coding	503	520	329	412	655	536	305	218	470	325
ENSG00000110723|EXPH5|protein_coding	1	3	3	2	1	1	10	1	1	1
ENSG00000110841|PPFIBP1|protein_coding	7	4	2	6	2	14	7	12	15	36
ENSG00000110880|CORO1C|protein_coding	360	332	522	715	414	429	597	570	524	637
ENSG00000111145|ELK3|protein_coding	576	585	613	384	655	599	651	570	524	637
ENSG00000111348|ARHGDIB|protein_coding	42	49	40	63	64	67	49	61	44	40
ENSG00000111450|STX2|protein_coding	2	2	1	1	2	1	2	1	1	1
ENSG00000111490|TBC1D30|protein_coding	660	394	613	364	589	464	597	616	605	307
ENSG00000111615|KRR1|protein_coding	172	230	283	359	171	140	420	151	133	304
ENSG00000111679|PTPN6|protein_coding	717	551	588	334	251	698	452	570	437	637
ENSG00000111816|FRK|protein_coding	318	688	444	518	443	709	519	570	449	271
ENSG00000111860|CEP85L|protein_coding	1	1	17	1	2	1	1	1	1	19
ENSG00000112031|MTRF1L|protein_coding	60	90	89	67	87	123	73	66	94	81
ENSG00000112796|ENPP5|protein_coding	1	1	1	1	1	1	1	1	1	1
ENSG00000112812|PRSS16|protein_coding	576	273	425	134	686	536	180	616	140	215
ENSG00000113558|SKP1|protein_coding	455	585	229	518	307	500	460	509	605	264
ENSG00000113583|C5orf15|protein_coding	2	2	9	2	2	2	1	2	2	2
ENSG00000113621|TXNDC15|protein_coding	324	261	365	400	213	321	387	315	386	399
ENSG00000113658|SMAD5|protein_coding	1	2	2	2	1	1	2	1	1	2
ENSG00000113721|PDGFRB|protein_coding	1	1	5	1	2	2	2	1	1	2
ENSG00000114026|OGG1|protein_coding	29	16	29	19	17	14	18	12	11	7
ENSG00000114166|KAT2B|protein_coding	296	292	659	174	178	461	194	303	272	486
ENSG00000114353|GNAI2|protein_coding	426	342	325	465	589	536	473	628	524	420
ENSG00000114480|GBE1|protein_coding	1	1	1	1	1	1	1	1	1	1
ENSG00000115020|PIKFYVE|protein_coding	576	688	624	518	715	536	702	327	715	637
ENSG00000115339|GALNT3|protein_coding	286	270	588	377	293	421	375	369	259	514
ENSG00000115355|CCDC88A|protein_coding	432	241	624	200	686	305	282	329	330	198
ENSG00000115607|IL18RAP|protein_coding	289	192	588	369	296	496	296	509	256	250
ENSG00000115758|ODC1|protein_coding	286	491	522	647	715	536	560	570	498	321
ENSG00000115966|ATF2|protein_coding	129	251	291	213	119	238	191	248	228	164
ENSG00000116039|ATP6V1B1|protein_coding	1	1	1	1	1	1	1	1	1	1
ENSG00000116132|PRRX1|protein_coding	206	305	218	226	136	251	234	570	179	676
ENSG00000116670|MAD2L2|protein_coding	481	626	659	647	518	536	560	717	524	514
ENSG00000116809|ZBTB17|protein_coding	92	135	182	121	125	138	169	138	190	198
ENSG00000117115|PADI2|protein_coding	384	459	372	258	376	214	284	197	479	319
ENSG00000117266|CDK18|protein_coding	65	97	68	109	101	74	88	181	61	48
ENSG00000117385|P3H1|protein_coding	7	12	9	11	33	4	13	12	30	3
ENSG00000117480|FAAH|protein_coding	417	659	659	185	715	366	218	360	669	569
ENSG00000117595|IRF6|protein_coding	717	520	360	715	518	494	702	570	605	569
ENSG00000118496|FBXO30|protein_coding	292	174	522	647	339	369	597	445	314	398
ENSG00000118762|PKD2|protein_coding	441	495	132	518	392	146	376	178	236	709
ENSG00000118849|RARRES1|protein_coding	153	200	188	151	174	194	160	179	346	188
ENSG00000118965|WDR35|protein_coding	576	440	588	445	450	564	393	509	669	540
ENSG00000119004|CYP20A1|protein_coding	197	473	242	281	130	399	205	183	397	184
ENSG00000119411|BSPRY|protein_coding	298	284	365	350	299	261	702	509	456	472
ENSG00000120162|MOB3B|protein_coding	717	491	588	647	447	729	519	570	605	676
ENSG00000120278|PLEKHG1|protein_coding	717	585	717	715	715	536	597	570	605	709
ENSG00000121380|BCL2L14|protein_coding	103	115	80	172	200	126	52	86	111	94
ENSG00000121851|POLR3GL|protein_coding	302	585	588	333	655	417	390	570	297	412
ENSG00000122008|POLK|protein_coding	174	123	159	204	123	133	187	167	168	129
ENSG00000122591|FAM126A|protein_coding	473	716	717	647	715	628	651	443	715	676
ENSG00000123094|RASSF8|protein_coding	62	20	63	29	34	48	51	25	33	83
ENSG00000123416|TUBA1B|protein_coding	717	520	344	494	518	671	519	658	669	375
ENSG00000123485|HJURP|protein_coding	660	659	448	575	494	638	597	570	715	443
ENSG00000124107|SLPI|protein_coding	289	369	717	385	518	671	519	215	477	439
ENSG00000124507|PACSIN1|protein_coding	660	585	554	647	548	701	702	658	715	637
ENSG00000124602|UNC5CL|protein_coding	576	659	554	416	376	403	597	570	605	709
ENSG00000124743|KLHL31|protein_coding	437	659	717	687	715	599	651	509	715	676
ENSG00000125731|SH2D3A|protein_coding	211	137	153	284	313	145	111	92	344	208
ENSG00000125841|NRSN2|protein_coding	339	432	522	518	589	729	597	658	605	709
ENSG00000125850|OVOL2|protein_coding	341	716	413	373	548	599	651	467	560	569
ENSG00000126214|KLC1|protein_coding	1	1	1	1	1	1	1	1	1	1
ENSG00000126460|PRRG2|protein_coding	63	43	118	70	135	86	79	72	54	70
ENSG00000126698|DNAJC8|protein_coding	524	390	659	647	362	445	597	570	353	514
ENSG00000126773|PCNX4|protein_coding	4	2	17	2	15	14	2	7	1	2
ENSG00000126860|EVI2A|protein_coding	108	125	65	66	150	123	94	103	130	112
ENSG00000126878|AIF1L|protein_coding	72	91	110	107	76	94	47	50	31	49
ENSG00000127084|FGD3|protein_coding	220	245	123	160	247	161	300	210	97	237
ENSG00000127418|FGFRL1|protein_coding	295	277	249	165	198	280	297	256	381	254
ENSG00000127920|GNG11|protein_coding	154	110	137	261	108	239	126	237	283	117
ENSG00000127954|STEAP4|protein_coding	248	341	316	331	589	457	519	442	384	491
ENSG00000127955|GNAI1|protein_coding	1	1	1	1	1	1	1	1	1	1
ENSG00000128422|KRT17|protein_coding	242	520	444	439	655	503	447	228	605	637
ENSG00000128617|OPN1SW|protein_coding	343	422	192	404	381	313	400	376	234	378
ENSG00000128886|ELL3|protein_coding	225	230	186	518	460	275	275	269	193	310
ENSG00000129353|SLC44A2|protein_coding	166	425	423	352	300	339	227	363	359	354
ENSG00000129354|AP1M2|protein_coding	124	187	163	193	181	158	182	132	202	109
ENSG00000129455|KLK8|protein_coding	49	31	32	27	30	1	26	39	28	35
ENSG00000130487|KLHDC7B|protein_coding	489	408	352	264	309	361	426	477	465	569
ENSG00000130545|CRB3|protein_coding	2	1	1	1	1	1	1	1	1	1
ENSG00000130590|SAMD10|protein_coding	183	138	165	150	149	106	133	251	80	162
ENSG00000130701|RBBP8NL|protein_coding	161	274	129	213	559	208	190	122	169	351
ENSG00000130762|ARHGEF16|protein_coding	1	1	1	1	1	1	1	1	1	1
ENSG00000130768|SMPDL3B|protein_coding	165	76	128	77	76	79	129	161	111	90
ENSG00000130830|MPP1|protein_coding	1	1	1	1	1	1	1	1	1	1
ENSG00000131037|EPS8L1|protein_coding	1	1	1	1	1	1	1	1	1	1
ENSG00000131711|MAP1B|protein_coding	200	202	231	163	219	195	373	279	215	395
ENSG00000132031|MATN3|protein_coding	1	1	1	1	1	1	1	1	1	1
ENSG00000132321|IQCA1|protein_coding	455	520	435	555	655	458	519	509	524	604
ENSG00000132698|RAB25|protein_coding	68	88	58	72	73	59	62	67	68	58
ENSG00000132746|ALDH3B2|protein_coding	122	103	90	102	104	129	97	92	95	157
ENSG00000132825|PPP1R3D|protein_coding	151	320	73	186	169	133	198	243	192	255
ENSG00000132849|PATJ|protein_coding	436	221	283	407	112	493	125	448	180	221
ENSG00000133027|PEMT|protein_coding	717	716	588	602	548	671	651	717	560	709
ENSG00000133056|PIK3C2B|protein_coding	524	626	332	518	435	413	651	658	605	569
ENSG00000133195|SLC39A11|protein_coding	576	356	522	424	443	638	597	469	560	569
ENSG00000133477|FAM83F|protein_coding	524	520	522	443	455	359	394	717	560	393
ENSG00000133731|IMPA1|protein_coding	435	585	522	647	548	599	597	717	605	461
ENSG00000133962|CATSPERB|protein_coding	660	585	717	602	715	536	702	717	715	593
ENSG00000134072|CAMK1|protein_coding	204	214	406	602	282	279	432	225	203	187
ENSG00000134258|VTCN1|protein_coding	459	387	624	715	589	405	519	470	669	709
ENSG00000134313|KIDINS220|protein_coding	576	688	588	575	463	729	546	717	715	409
ENSG00000134317|GRHL1|protein_coding	373	659	217	427	364	536	597	690	637	676
ENSG00000134490|TMEM241|protein_coding	660	659	717	575	715	671	651	473	715	637
ENSG00000134533|RERG|protein_coding	660	716	659	647	715	729	702	570	669	709
ENSG00000134901|KDELC1|protein_coding	495	551	522	647	467	599	702	459	560	569
ENSG00000134982|APC|protein_coding	660	585	717	715	715	729	702	717	715	604
ENSG00000134996|OSTF1|protein_coding	321	154	212	301	559	709	147	570	356	385
ENSG00000135127|BICDL1|protein_coding	576	688	717	647	715	729	597	717	605	637
ENSG00000135374|ELF5|protein_coding	331	585	465	307	440	564	597	417	243	312
ENSG00000135378|PRRG4|protein_coding	717	585	588	687	655	671	597	717	715	637
ENSG00000135404|CD63|protein_coding	473	659	659	602	548	638	702	658	669	604
ENSG00000135480|KRT7|protein_coding	660	305	554	460	290	229	224	237	285	167
ENSG00000135525|MAP7|protein_coding	576	440	493	381	459	481	281	348	411	482
ENSG00000135549|PKIB|protein_coding	104	143	106	153	110	131	109	100	115	68
ENSG00000135750|KCNK1|protein_coding	717	688	717	341	715	709	702	717	605	637
ENSG00000135931|ARMC9|protein_coding	660	716	717	715	715	638	597	570	669	709
ENSG00000136155|SCEL|protein_coding	469	520	367	647	518	406	493	717	669	709
ENSG00000136237|RAPGEF5|protein_coding	145	403	343	602	404	414	250	281	484	514
ENSG00000136383|ALPK3|protein_coding	304	313	588	715	352	671	651	399	605	156
ENSG00000136457|CHAD|protein_coding	450	217	522	219	518	337	325	237	338	257
ENSG00000136695|IL36RN|protein_coding	660	659	522	715	548	671	597	717	669	709
ENSG00000136710|CCDC115|protein_coding	335	201	210	240	182	243	166	309	224	119
ENSG00000137094|DNAJB5|protein_coding	717	659	445	647	589	729	702	509	498	569
ENSG00000137288|UQCC2|protein_coding	621	716	659	715	655	599	651	570	605	709
ENSG00000137440|FGFBP1|protein_coding	660	716	554	715	655	599	702	717	605	709
ENSG00000137441|FGFBP2|protein_coding	693	659	717	715	715	536	702	717	715	709
ENSG00000137502|RAB30|protein_coding	717	659	588	575	589	701	651	717	669	709
ENSG00000137648|TMPRSS4|protein_coding	77	95	60	105	139	110	120	82	75	37
ENSG00000137709|POU2F3|protein_coding	269	626	717	334	487	599	341	570	363	569
ENSG00000137747|TMPRSS13|protein_coding	524	520	340	647	480	498	503	311	419	448
ENSG00000137821|LRRC49|protein_coding	660	659	554	715	589	671	519	717	605	637
ENSG00000138375|SMARCAL1|protein_coding	717	462	659	647	715	709	597	570	715	637
ENSG00000138684|IL21|protein_coding	660	716	659	715	715	599	651	509	641	637
ENSG00000138686|BBS7|protein_coding	264	688	415	422	439	478	380	479	367	370
ENSG00000138756|BMP2K|protein_coding	660	618	347	343	589	386	358	355	715	297
ENSG00000139044|B4GALNT3|protein_coding	294	468	290	544	715	474	519	454	431	452
ENSG00000139055|ERP27|protein_coding	370	142	247	209	186	196	275	424	212	430
ENSG00000139278|GLIPR1|protein_coding	621	520	384	303	356	346	651	509	395	569
ENSG00000139547|RDH16|protein_coding	576	415	377	687	559	638	429	717	447	441
ENSG00000139624|CERS5|protein_coding	464	323	398	647	433	599	597	616	524	251
ENSG00000139625|MAP3K12|protein_coding	576	476	366	575	655	434	210	334	669	434
ENSG00000139641|ESYT1|protein_coding	280	364	394	437	291	638	546	658	322	267
ENSG00000139684|ESD|protein_coding	389	659	659	647	655	564	453	570	342	303
ENSG00000139974|SLC38A6|protein_coding	377	520	554	518	518	628	651	435	264	709
ENSG00000140262|TCF12|protein_coding	312	615	350	647	655	459	458	717	605	355
ENSG00000140526|ABHD2|protein_coding	412	280	208	575	655	390	369	262	234	262
ENSG00000140682|TGFB1I1|protein_coding	660	716	717	715	655	599	485	616	480	709
ENSG00000140832|MARVELD3|protein_coding	693	470	462	544	267	460	414	482	440	466
ENSG00000140937|CDH11|protein_coding	717	659	717	715	655	671	702	658	669	709
ENSG00000141497|ZMYND15|protein_coding	576	316	686	448	589	599	651	509	370	665
ENSG00000141738|GRB7|protein_coding	186	249	261	117	224	158	165	208	605	239
ENSG00000142227|EMP3|protein_coding	263	299	279	148	117	246	337	284	225	413
ENSG00000142273|CBLC|protein_coding	411	226	310	313	475	482	383	471	364	338
ENSG00000142675|CNKSR1|protein_coding	576	520	116	271	419	245	353	298	209	205
ENSG00000142910|TINAGL1|protein_coding	576	520	554	424	686	507	597	509	669	366
ENSG00000143036|SLC44A3|protein_coding	346	369	184	320	326	270	407	299	187	332
ENSG00000143067|ZNF697|protein_coding	447	585	382	329	477	412	404	473	417	637
ENSG00000143217|NECTIN4|protein_coding	367	456	659	299	450	393	597	616	524	437
ENSG00000143320|CRABP2|protein_coding	391	716	362	442	269	536	450	377	402	260
ENSG00000143341|HMCN1|protein_coding	341	258	440	518	589	449	298	274	303	342
ENSG00000143365|RORC|protein_coding	717	421	717	715	335	729	422	570	524	514
ENSG00000143375|CGN|protein_coding	348	220	302	647	372	454	417	690	356	593
ENSG00000143515|ATP8B2|protein_coding	576	716	717	647	655	510	702	460	669	514
ENSG00000143578|CREB3L4|protein_coding	576	444	659	366	715	671	702	570	402	709
ENSG00000143590|EFNA3|protein_coding	576	551	659	311	655	599	597	570	524	514
ENSG00000143702|CEP170|protein_coding	576	551	691	417	344	536	254	570	374	391
ENSG00000143793|C1orf35|protein_coding	505	520	322	321	398	599	377	690	488	709
ENSG00000143850|PLEKHA6|protein_coding	505	716	522	555	621	599	597	717	669	709
ENSG00000143878|RHOB|protein_coding	344	452	461	602	417	425	597	658	560	256
ENSG00000144339|TMEFF2|protein_coding	660	585	455	420	655	468	356	509	339	514
ENSG00000144452|ABCA12|protein_coding	576	688	437	544	548	671	702	658	605	709
ENSG00000144642|RBMS3|protein_coding	576	659	691	450	518	536	447	404	453	709
ENSG00000144648|ACKR2|protein_coding	402	159	304	137	438	221	261	432	250	426
ENSG00000144935|TRPC1|protein_coding	213	585	147	290	208	564	366	205	434	569
ENSG00000145103|ILDR1|protein_coding	255	659	554	340	341	431	400	379	480	397
ENSG00000145362|ANK2|protein_coding	576	626	453	715	518	638	702	658	715	378
ENSG00000145817|YIPF5|protein_coding	289	551	434	236	206	298	415	199	201	298
ENSG00000145990|GFOD1|protein_coding	430	659	333	715	686	671	382	324	524	514
ENSG00000146904|EPHA1|protein_coding	717	716	659	647	655	671	519	658	715	514
ENSG00000146955|RAB19|protein_coding	576	402	717	544	715	510	702	658	560	494
ENSG00000147416|ATP6V1B2|protein_coding	576	381	418	518	655	671	519	437	560	676
ENSG00000147434|CHRNA6|protein_coding	524	440	659	322	403	564	369	509	605	449
ENSG00000147676|MAL2|protein_coding	237	282	356	434	406	308	597	461	560	569
ENSG00000147697|GSDMC|protein_coding	660	716	588	647	715	729	702	509	715	637
ENSG00000148346|LCN2|protein_coding	621	716	717	555	655	671	651	717	524	569
ENSG00000148516|ZEB1|protein_coding	660	585	717	647	621	709	702	717	524	709
ENSG00000148834|GSTO1|protein_coding	168	233	522	179	715	354	651	616	524	452
ENSG00000149300|C11orf52|protein_coding	576	585	522	647	518	729	651	570	495	637
ENSG00000149418|ST14|protein_coding	576	245	349	305	405	401	597	275	445	427
ENSG00000149573|MPZL2|protein_coding	576	659	588	602	715	671	702	570	669	637
ENSG00000149948|HMGA2|protein_coding	660	585	554	575	450	729	388	570	641	604
ENSG00000151835|SACS|protein_coding	576	244	403	406	245	219	651	250	462	296
ENSG00000151882|CCL28|protein_coding	576	716	613	647	655	638	546	658	637	478
ENSG00000152213|ARL11|protein_coding	462	178	395	518	518	536	546	307	560	166
ENSG00000152661|GJA1|protein_coding	259	258	522	296	255	324	342	287	334	308
ENSG00000152766|ANKRD22|protein_coding	191	659	554	518	655	164	268	192	304	569
ENSG00000152818|UTRN|protein_coding	497	447	468	308	273	387	158	342	283	514
ENSG00000153292|ADGRF1|protein_coding	576	659	442	647	715	729	433	509	605	569
ENSG00000153823|PID1|protein_coding	660	716	408	402	339	514	597	276	454	637
ENSG00000153827|TRIP12|protein_coding	231	716	588	409	425	447	468	433	458	447
ENSG00000154229|PRKCA|protein_coding	268	363	320	260	205	536	348	191	349	352
ENSG00000154240|CEP112|protein_coding	524	585	624	647	715	403	651	717	715	637
ENSG00000154370|TRIM11|protein_coding	660	447	457	647	715	599	702	509	446	479
ENSG00000154914|USP43|protein_coding	325	585	245	176	304	177	406	197	296	210
ENSG00000155016|CYP2U1|protein_coding	660	585	588	647	715	638	470	690	715	637
ENSG00000155066|PROM2|protein_coding	576	435	438	602	589	445	439	658	715	665
ENSG00000155099|TMEM55A|protein_coding	717	659	659	647	715	671	519	658	524	637
ENSG00000155158|TTC39B|protein_coding	461	716	588	687	589	480	651	616	605	637
ENSG00000155189|AGPAT5|protein_coding	524	397	624	575	387	536	546	463	524	460
ENSG00000155970|MICU3|protein_coding	717	659	522	715	589	671	702	658	605	709
ENSG00000155975|VPS37A|protein_coding	160	257	286	647	518	265	211	365	524	342
ENSG00000156222|SLC28A1|protein_coding	337	496	405	452	427	382	435	310	452	313
